brand,model,name,year,unique__id,price,number_images,body_type,km,vehicle_engine,preprocessed_brand,preprocessed_model,preprocessed_body_type,preprocessed_price,preprocessed_km,preprocessed_vehicle_engine,text_content
Honda,Super Cub C110 (NBC110),2016 Honda Super Cub C110 (NBC110),2016,5ca5f6af9bf7b5c6aecd89021e7fa41bdcdc80bf186ab8149464d3917f716788,1990,13,Scooters,16011.0,109,honda,super cub c110 ( nbc110 ),scooter,1990,16011.0,109,honda honda scooter 1990 16011.0 109
Suzuki,Address 110 (UK110NE),2018 Suzuki Address 110 (UK110NE),2018,f6e3f5402d8d17c0be6f06f8e163131831ef1d31a9909698f97ce55b417ad060,3300,15,Scooters,2.0,113,suzuki,address 110 ( uk110n ),scooter,3300,2.0,113,suzuki suzuki scooter 3300 2.0 113
Suzuki,Address 110 (UK110NE),2017 Suzuki Address 110 (UK110NE) MY16,2017,5ff6c5999df5f6bcaee37d21e4b078c1601c231b2a13f30df2f867625ee34e90,2750,7,Scooters,620.0,113,suzuki,address 110 ( uk110n ),scooter,2750,620.0,113,suzuki suzuki scooter 2750 620.0 113
Suzuki,Address 110 (UK110NE),2015 Suzuki Address 110 (UK110NE),2015,b2e0bd7caf77d17ceea8edd6075f92e42fc686a3d3200e43463e898002b8a2c4,2200,3,Scooters,3113.0,113,suzuki,address 110 ( uk110n ),scooter,2200,3113.0,113,suzuki suzuki scooter 2200 3113.0 113
Vespa,125 (VNB),1960 Vespa 125 (VNB),1960,d71dcce23e40c938269ad27a7a378a4f9ca5ca7a5663bdc0398b333ac26dd32a,8500,3,Scooters,200.0,123,vespa,125 ( vnb ),scooter,8500,200.0,123,vespa vespa scooter 8500 200.0 123
Kymco,CK125,2010 Kymco CK125,2010,5cd184f94175d56a4f1be917d9c023e5fda591bd4072ce592ce79407e80d6035,1999,24,Naked,19204.0,124,kymco,ck125,nake,1999,19204.0,124,kymco kymco nake 1999 19204.0 124
Suzuki,GT125,1976 Suzuki GT125,1976,5e272491476415f039f989ec5b609aa604d4ad1f4cf1842e483906a9e57225c9,5000,18,Naked,30038.0,124,suzuki,gt125,nake,5000,30038.0,124,suzuki suzuki nake 5000 30038.0 124
Honda,CB125E,2016 Honda CB125E,2016,9e108b8f3782fd9fa2a80cc86ac6e463609ff76b74615eab6ac8cc6cdc6ffef9,2000,10,Naked,19500.0,124,honda,cb125e,nake,2000,19500.0,124,honda honda nake 2000 19500.0 124
Honda,CB125E,2018 Honda CB125E,2018,7dd87fe1067ff6441882eab6497754dbee8af012452fb6b82cef915f858ceac4,2300,2,Naked,6008.0,124,honda,cb125e,nake,2300,6008.0,124,honda honda nake 2300 6008.0 124
Honda,CB125E,2013 Honda CB125E,2013,454e2817cbc890b0c38cfa6ab0d17efccfa9454e4bede35b2d9c3cf5faa9211b,2000,8,Naked,14000.0,124,honda,cb125e,nake,2000,14000.0,124,honda honda nake 2000 14000.0 124
Honda,CB125E,2016 Honda CB125E,2016,c940cf4d600f4ba640ce970a14f8958a37199d6ae36b0e04a642d24b1bddbb28,2500,2,Naked,9000.0,124,honda,cb125e,nake,2500,9000.0,124,honda honda nake 2500 9000.0 124
Honda,CB125E,2012 Honda CB125E,2012,d11f92c2f9e80b7b7fe08149cd4ec4f906605696e6b6ead95053864996447228,2150,8,Naked,2684.0,124,honda,cb125e,nake,2150,2684.0,124,honda honda nake 2150 2684.0 124
Honda,CB125E,2014 Honda CB125E,2014,37ea7f333686309d57f5ca85fea4bcba6ac6162baf2bbfd1c78e49b67c1e98a2,555,8,Naked,3808.0,124,honda,cb125e,nake,555,3808.0,124,honda honda nake 555 3808.0 124
Honda,CB125E,2018 Honda CB125E,2018,b833f5aa9d2f6d98ad5cf81415ede267c726843842c52be9d4782e5bd08f4c1c,2800,4,Naked,2900.0,124,honda,cb125e,nake,2800,2900.0,124,honda honda nake 2800 2900.0 124
Honda,CB125E,2014 Honda CB125E,2014,20c2cef8cb6a3ffcb7982d5a35922caacd9f8d2d28d93690ebeffbbe617b5f05,2290,21,Naked,14676.0,124,honda,cb125e,nake,2290,14676.0,124,honda honda nake 2290 14676.0 124
Honda,CB125E,2014 Honda CB125E,2014,c56e534c5202a0e1ef34817d0fa1f846d848720019c6e31037ebb108d933f85e,1800,5,Naked,6874.0,124,honda,cb125e,nake,1800,6874.0,124,honda honda nake 1800 6874.0 124
Honda,CB125E,2013 Honda CB125E,2013,133ccff307de26d4530944596361da98de3039fb61c96b9ba3c61edf8578264c,1800,10,Naked,27345.0,124,honda,cb125e,nake,1800,27345.0,124,honda honda nake 1800 27345.0 124
Honda,CB125E,2017 Honda CB125E,2017,f3b1abd69fdfd1df0043ebba09a087efa386e2962a0041e69034cf30b8336e46,1800,5,Naked,2128.0,124,honda,cb125e,nake,1800,2128.0,124,honda honda nake 1800 2128.0 124
Honda,CB125E,2018 Honda CB125E,2018,2509cc58c4d2d7f1c4b3a4428b3496344a1cd4500b4ac1956f2a2a92e1bd1036,2000,5,Naked,10000.0,124,honda,cb125e,nake,2000,10000.0,124,honda honda nake 2000 10000.0 124
Honda,CB125E,2013 Honda CB125E,2013,9e68dd4e3c21f5db6762e61921c0775fab5e430c9fa2857a1608e81d3a644797,1500,3,Naked,10603.0,124,honda,cb125e,nake,1500,10603.0,124,honda honda nake 1500 10603.0 124
Aprilia,RS 125,2007 Aprilia RS 125,2007,47186465a3b758755b046a2aa3dcb9bce82c3ac733f3b0895a78baaa98ef4ba9,2999,6,Super Sport,17027.0,124,aprilia,rs 125,super sport,2999,17027.0,124,aprilia aprilia super sport 2999 17027.0 124
Aprilia,RS 125,2005 Aprilia RS 125,2005,ad6382abc1dc59bea1bf03e66512961fa57e613c3d5bac3e6b21a2a3b3dcd102,3200,7,Super Sport,30600.0,124,aprilia,rs 125,super sport,3200,30600.0,124,aprilia aprilia super sport 3200 30600.0 124
